ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV02022,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Proteobacteria (g. Sphingopyxis)
ASV02023,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,,Bacteroidetes (o. Sphingobacteriales)
ASV02024,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,,,Bacteroidetes (o. Chitinophagales)
ASV02025,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Proteobacteria (c. Gammaproteobacteria)
ASV02026,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV02027,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02028,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,Verrucomicrobia (g. Opitutus)
ASV02029,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Piscinibacter,Proteobacteria (g. Piscinibacter)
ASV02030,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02031,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,Proteobacteria (g. Nannocystis)
ASV02032,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Candidatus_Paracaedibacter,Proteobacteria (g. Paracaedibacter)
ASV02033,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Proteobacteria (g. Bdellovibrio)
ASV02034,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Proteobacteria (g. Pseudoxanthomonas)
ASV02035,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,Verrucomicrobia (f. Verrucomicrobiaceae)
ASV02036,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans,Firmicutes (g. Saccharofermentans)
ASV02037,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia (g. Luteolibacter)
ASV02038,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,Chloroflexi (o. Thermomicrobiales)
ASV02039,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,Chloroflexi (c. Anaerolineae)
ASV02040,Bacteria,Acidobacteria,Blastocatellia,24-Nov,,,Acidobacteria (c. Blastocatellia)
ASV02041,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,,Proteobacteria (f. Reyranellaceae)
ASV02042,Bacteria,Proteobacteria,Gammaproteobacteria,,,,Proteobacteria (c. Gammaproteobacteria)
ASV02043,Bacteria,,,,,,Bacteria
ASV02044,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,,Proteobacteria (o. Oligoflexales)
ASV02045,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV02046,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Bacteroidetes (g. Algoriphagus)
ASV02047,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,,Planctomycetes (f. Gemmataceae)
ASV02048,Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,,Proteobacteria (f. Holosporaceae)
ASV02049,Bacteria,Proteobacteria,,,,,Proteobacteria
ASV02050,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4_lineage,"Planctomycetes (f. Pirellulaceae, Pir4 lineage)"
ASV02051,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV02052,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,,,Proteobacteria (c. Gammaproteobacteria)
ASV02053,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,Bacteroidetes (g. Dinghuibacter)
ASV02054,Bacteria,Patescibacteria,ABY1,Candidatus_Uhrbacteria,,,Patescibacteria (o. Uhrbacteria)
ASV02055,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,Verrucomicrobia (g. Lacunisphaera)
ASV02056,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Proteobacteria (g. Legionella)
ASV02057,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,,,Chlamydiae (o. Chlamydiales)
ASV02058,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV02059,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV02060,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV02061,Bacteria,Planctomycetes,OM190,,,,Planctomycetes
ASV02062,Bacteria,Spirochaetes,Leptospirae,Leptospirales,Leptospiraceae,Leptospira,Spirochaetes (g. Leptospira)
ASV02063,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geothermobacter,Proteobacteria (g. Geothermobacter)
