ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV00001,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,,"Proteobacteria (f. Bdellovibrionaceae, OM27 clade)"
ASV00002,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospirae (g. Nitrospira)
ASV00003,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Bacteroidetes (g. Haliscomenobacter)
ASV00004,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00005,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00006,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospirae (g. Nitrospira)
ASV00007,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
ASV00008,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,,Bacteroidetes (o. Sphingobacteriales)
ASV00009,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,Acidobacteria (f. Thermoanaerobaculaceae)
ASV00010,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Proteobacteria (g. Tabrizicola)
ASV00011,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Proteobacteria (g. Arenimonas)
ASV00012,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,Actinobacteria (g. Planktophila)
ASV00013,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,Proteobacteria (f. Burkholderiaceae)
ASV00014,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Proteobacteria (g. Arenimonas)
ASV00015,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,,Actinobacteria (f. Sporichthyaceae)
ASV00016,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV00017,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Pseudarcicella,Bacteroidetes (g. Pseudarcicella)
ASV00018,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00019,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00020,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,Proteobacteria (g. Leptothrix)
ASV00021,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteroidetes (g. Paludibacter)
ASV00022,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteroidetes (g. Paludibacter)
ASV00023,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Proteobacteria (g. Cellvibrio)
ASV00024,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,Proteobacteria (g. Perlucidibaca)
ASV00025,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Proteobacteria (g. Novosphingobium)
ASV00026,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
ASV00027,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00028,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,Actinobacteria (g. Planktophila)
ASV00029,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00030,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00031,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00032,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,37-13,,Bacteroidetes (o. Chitinophagales)
ASV00033,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Leptothrix,Proteobacteria (g. Leptothrix)
ASV00034,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,,,Bacteroidetes (c. Ignavibacteria)
ASV00035,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,Proteobacteria (g. Haliangium)
ASV00036,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00037,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00038,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,Proteobacteria (g. Halioglobus)
ASV00039,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00040,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospirae (g. Nitrospira)
ASV00041,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00042,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Proteobacteria (g. Sandarakinorhabdus)
ASV00043,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
ASV00044,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV00045,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00046,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV00047,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,Proteobacteria (f. Halieaceae OM60(NOR5) clade)
ASV00048,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Bacteroidetes (g. Ferruginibacter)
ASV00049,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Ferribacterium,Proteobacteria (g. Ferribacterium)
ASV00050,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,,Proteobacteria (f. Rhizobiales)
ASV00051,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV00052,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnohabitans,Proteobacteria (g. Limnohabitans)
ASV00053,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,,,Planctomycetes (o. Planctomycetales)
ASV00054,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00055,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,Bacteroidetes (g. Cytophaga)
ASV00056,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00057,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,Proteobacteria (f. Halieaceae OM60(NOR5) clade)
ASV00058,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Candidatus_Methylopumilus,Proteobacteria (g. Methylopumilus)
ASV00059,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,,Verrucomicrobia (f. Opitutaceae)
ASV00060,Bacteria,Verrucomicrobia,Verrucomicrobiae,,,,Verrucomicrobia (c. Verrucomicrobiae)
ASV00061,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Proteobacteria (g. Brevundimonas)
ASV00062,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Proteobacteria (g. Rhodobacter)
ASV00063,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14,Planctomycetes (f. Rubinisphaeraceae)
ASV00064,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00065,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Bacteroidetes (g. Sediminibacterium)
ASV00066,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00067,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,,Proteobacteria (o. Myxococcales)
ASV00068,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Limnohabitans,Proteobacteria (g. Limnohabitans)
ASV00069,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,,Proteobacteria (f. Diplorickettsiaceae)
ASV00070,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV00071,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,TRA3-20,,Proteobacteria (o. Betaproteobacteriales)
ASV00072,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,Proteobacteria (g. Methylotenera)
ASV00073,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00074,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00075,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00076,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,,Actinobacteria (f. Microbacteriaceae)
ASV00077,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,Proteobacteria (f. Burkholderiaceae)
ASV00078,Bacteria,Acidobacteria,Blastocatellia,24-Nov,,,Acidobacteria (c. Blastocatellia)
ASV00079,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Proteobacteria (g. Hydrogenophaga)
ASV00080,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,,,"Proteobacteria (c. Gammaproteobacteria, KI89A clade)"
ASV00081,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,,Bacteroidetes (o. Sphingobacteriales)
ASV00082,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Curvibacter,Proteobacteria (g. Curvibacter)
ASV00083,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV00084,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Proteobacteria (g. Sandaracinus)
ASV00085,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00086,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,Proteobacteria (g. Rhodoferax)
ASV00087,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,Proteobacteria (o. Rickettsiales)
ASV00088,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,Proteobacteria (g. Haliangium)
ASV00089,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae,Paludibaculum,Acidobacteria (g. Paludibaculum)
ASV00090,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Planktoluna,Actinobacteria (g. Planktoluna)
ASV00091,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00092,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00093,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Porphyrobacter,Proteobacteria (g. Porphyrobacter)
ASV00094,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Proteobacteria (g. Hydrogenophaga)
ASV00095,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV00096,Bacteria,Planctomycetes,OM190,,,,Planctomycetes
ASV00097,Bacteria,Proteobacteria,Deltaproteobacteria,RCP2-54,,,Proteobacteria (c. Deltaproteobacteria)
ASV00098,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae,Bryobacter,Acidobacteria (g. Bryobacter)
ASV00099,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,Proteobacteria (g. Haliangium)
ASV00100,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hydrogenophaga,Proteobacteria (g. Hydrogenophaga)
ASV00101,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,Proteobacteria (f. Acetobacteraceae)
ASV00102,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV00103,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,Proteobacteria (g. Pseudohongiella)
ASV00104,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Schlesneria,Planctomycetes (g. Schlesneria)
ASV00105,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,Proteobacteria (g. Rhodobacter)
ASV00106,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia (g. Luteolibacter)
ASV00107,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00108,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,TRA3-20,,Proteobacteria (o. Betaproteobacteriales)
ASV00109,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,Bacteroidetes (g. Cytophaga)
ASV00110,Bacteria,,,,,,Bacteria
ASV00111,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00112,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Roseateles,Proteobacteria (g. Roseateles)
ASV00113,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,Proteobacteria (f. Acetobacteraceae)
ASV00114,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14,Planctomycetes (f. Rubinisphaeraceae)
ASV00115,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00116,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00117,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola,Proteobacteria (g. Tabrizicola)
ASV00118,Bacteria,Acidobacteria,Subgroup_6,,,,Acidobacteria
ASV00119,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Alkanibacter,Proteobacteria (g. Alkanibacter)
ASV00120,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Proteobacteria (g. Sphingomonas)
ASV00121,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Bacteroidetes (g. Fluviicola)
ASV00122,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00123,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Bacteroidetes (g. Flavobacterium)
ASV00124,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00125,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,Proteobacteria (g. Luteimonas)
ASV00126,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Proteobacteria (g. Cellvibrio)
ASV00127,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia (g. Luteolibacter)
ASV00128,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia (g. Luteolibacter)
ASV00129,Bacteria,Verrucomicrobia,Verrucomicrobiae,,,,Verrucomicrobia (c. Verrucomicrobiae)
ASV00130,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00131,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus_Limnoluna,Actinobacteria (g. Limnoluna)
ASV00132,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV00133,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,Dependentiae (f. Vermiphilaceae)
ASV00134,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,,Bacteroidetes (o. Sphingobacteriales)
ASV00135,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,Verrucomicrobia (f. Verrucomicrobiaceae)
ASV00136,Bacteria,Chloroflexi,SL56_marine_group,,,,Chloroflexi
ASV00137,Bacteria,Proteobacteria,Alphaproteobacteria,,,,Proteobacteria (c. Alphaproteobacteria)
ASV00138,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis,Proteobacteria (g. Nannocystis)
ASV00139,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhodoferax,Proteobacteria (g. Rhodoferax)
ASV00140,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Polyangium,Proteobacteria (g. Polyangium)
ASV00141,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,,Bacteroidetes (f. Spirosomaceae)
ASV00142,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00143,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,,Proteobacteria (o. Gammaproteobacteria)
ASV00144,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,,Deinococcota (f. Deinococcaceae)
ASV00145,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,Proteobacteria (g. Arenimonas)
ASV00146,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Bacteroidetes (g. Algoriphagus)
ASV00147,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_9,Firmicutes (g. Clostridium)
ASV00148,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00149,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Schlesneriaceae,Schlesneria,Planctomycetes (g. Schlesneria)
ASV00150,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00151,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,,Chloroflexi (c. Anaerolineae)
ASV00152,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00153,Bacteria,Acidobacteria,Blastocatellia,24-Nov,,,Acidobacteria (c. Blastocatellia)
ASV00154,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00155,Bacteria,Proteobacteria,Deltaproteobacteria,,,,Proteobacteria (c. Deltaproteobacteria)
ASV00156,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,,Proteobacteria (o. Gammaproteobacteria)
ASV00157,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,,Verrucomicrobia (f. Verrucomicrobiaceae)
ASV00158,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,Proteobacteria (f. Rhodobacteraceae)
ASV00159,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,Candidatus_Planktophila,Actinobacteria (g. Planktophila)
ASV00160,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,,Proteobacteria (o. Myxococcales)
ASV00161,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Proteobacteria (g. Novosphingobium)
ASV00162,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,Proteobacteria (f. Burkholderiaceae)
ASV00163,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sandarakinorhabdus,Proteobacteria (g. Sandarakinorhabdus)
ASV00164,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter,Bacteroidetes (g. Dinghuibacter)
ASV00165,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,,Bacteroidetes (f. Microscillaceae)
ASV00166,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,,Bacteroidetes (f. Spirosomaceae)
ASV00167,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,,Proteobacteria (o. Myxococcales)
ASV00168,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Sporichthyaceae,hgcI_clade,"Actinobacteria (f. Sporichthyaceae, hgcI clade)"
ASV00169,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00170,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Proteobacteria (g. Novosphingobium)
ASV00171,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00172,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00173,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00174,Bacteria,Dependentiae,Babeliae,Babeliales,,,Dependentiae (o. Babeliales)
ASV00175,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellula,Planctomycetes (g. Pirellula)
ASV00176,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,Verrucomicrobia (g. Luteolibacter)
ASV00177,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,Bacteroidetes (f. Microscillaceae)
ASV00178,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV00179,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,Verrucomicrobia (g. Prosthecobacter)
ASV00180,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS_17,,Bacteroidetes (o. Sphingobacteriales)
ASV00181,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00182,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,Proteobacteria (f. Burkholderiaceae)
ASV00183,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,,Bacteroidetes (f. Spirosomaceae)
ASV00184,Bacteria,Acidobacteria,Subgroup_6,,,,Acidobacteria
ASV00185,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,,Bacteroidetes (f. Sphingobacteriaceae)
ASV00186,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,Bacteroidetes (g. Lacihabitans)
ASV00187,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV00188,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,Verrucomicrobia (f. Pedosphaeraceae)
ASV00189,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,,,Planctomycetes (o. Planctomycetales)
ASV00190,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,Proteobacteria (f. Steroidobacteraceae)
